n;ratio
1;1.0000000000
2;0.7500000000
3;0.7777777778
4;0.6875000000
5;0.7600000000
6;0.6388888889
7;0.7142857143
8;0.6718750000
9;0.6790123457
10;0.6300000000
11;0.6859504132
12;0.6319444444
13;0.6804733728
14;0.6479591837
15;0.6355555556
16;0.6210937500
17;0.6608996540
18;0.6265432099
19;0.6620498615
20;0.6375000000
21;0.6326530612
22;0.6177685950
23;0.6483931947
24;0.6232638889
25;0.6384000000
26;0.6257396450
27;0.6296296296
28;0.6160714286
29;0.6409036861
30;0.6166666667
31;0.6399583767
32;0.6318359375
33;0.6308539945
34;0.6219723183
35;0.6261224490
36;0.6103395062
37;0.6303871439
38;0.6225761773
39;0.6226166995
40;0.6118750000
41;0.6299821535
42;0.6139455782
43;0.6311519740
44;0.6234504132
45;0.6197530864
46;0.6138941399
47;0.6296966953
48;0.6176215278
49;0.6276551437
50;0.6188000000
51;0.6193771626
52;0.6135355030
53;0.6276254895
54;0.6169410151
55;0.6211570248
56;0.6144770408
57;0.6152662358
58;0.6108799049
59;0.6236713588
60;0.6119444444
61;0.6242945445
62;0.6199271592
63;0.6185437138
64;0.6149902344
65;0.6189349112
66;0.6095041322
67;0.6208509690
68;0.6165657439
69;0.6173072884
70;0.6095918367
71;0.6203134299
72;0.6124614198
73;0.6228185401
74;0.6192476260
75;0.6170666667
76;0.6134002770
77;0.6178107607
78;0.6099605523
79;0.6196122416
80;0.6142187500
81;0.6156073769
82;0.6125817965
83;0.6217157788
84;0.6138038549
85;0.6171626298
86;0.6142509465
87;0.6150085877
88;0.6114411157
89;0.6199974751
90;0.6122222222
91;0.6162299239
92;0.6133034026
93;0.6140594288
94;0.6114757809
95;0.6146260388
96;0.6088324653
97;0.6167499203
98;0.6129737609
99;0.6128966432
100;0.6087000000
101;0.6163121263
102;0.6104382930
103;0.6178716184
104;0.6149223373
105;0.6119727891
106;0.6097365611
107;0.6169097738
108;0.6117112483
109;0.6187189631
110;0.6141322314
111;0.6148039932
112;0.6115274235
113;0.6182943065
114;0.6130347799
115;0.6157277883
116;0.6134809750
117;0.6135583315
118;0.6115340419
119;0.6148577078
120;0.6090972222
121;0.6140973977
122;0.6121338350
123;0.6127966158
124;0.6107570239
125;0.6138240000
126;0.6086545729
127;0.6147312295
128;0.6129760742
129;0.6136049516
130;0.6098816568
131;0.6157566575
132;0.6110537190
133;0.6141104641
134;0.6123301403
135;0.6111934156
136;0.6091587370
137;0.6147903458
138;0.6105335014
139;0.6160654210
140;0.6121938776
141;0.6127961370
142;0.6111386630
143;0.6143576703
144;0.6104841821
145;0.6127467301
146;0.6111371740
147;0.6106252025
148;0.6089755296
149;0.6141615243
150;0.6095555556
151;0.6146660234
152;0.6128376039
153;0.6130548080
154;0.6101787823
155;0.6123204995
156;0.6084401709
157;0.6133717392
158;0.6118811088
159;0.6124362169
160;0.6098046875
161;0.6124377918
162;0.6090153940
163;0.6137603975
164;0.6122471743
165;0.6107254362
166;0.6093409784
167;0.6139696655
168;0.6100836168
169;0.6138090403
170;0.6110380623
171;0.6112992032
172;0.6098904813
173;0.6143539711
174;0.6110120227
175;0.6118857143
176;0.6101175103
177;0.6106482811
178;0.6093611918
179;0.6136824693
180;0.6098456790
181;0.6141143433
182;0.6117316749
183;0.6122308818
184;0.6107927694
185;0.6126223521
186;0.6095213319
187;0.6121707798
188;0.6108816206
189;0.6104812295
190;0.6080609418
191;0.6121268606
192;0.6092393663
193;0.6132513625
194;0.6120469763
195;0.6108349770
196;0.6089910454
197;0.6129248370
198;0.6098102234
199;0.6136966238
200;0.6115750000
201;0.6120393060
202;0.6108959906
203;0.6130456939
204;0.6101259131
205;0.6118024985
206;0.6106843246
207;0.6109594156
208;0.6095367973
209;0.6119594332
210;0.6083219955
211;0.6120033243
212;0.6108713065
213;0.6113205052
214;0.6102498035
215;0.6118550568
216;0.6092892661
217;0.6113317335
218;0.6102811211
219;0.6107253810
220;0.6084917355
221;0.6108597285
222;0.6082907232
223;0.6117758250
224;0.6101522640
225;0.6094814815
226;0.6084853943
227;0.6119078577
228;0.6093220991
229;0.6127076143
230;0.6107183365
231;0.6099398437
232;0.6088547860
233;0.6121866308
234;0.6095952955
235;0.6110819375
236;0.6100797185
237;0.6104968933
238;0.6087670362
239;0.6120165963
240;0.6091493056
241;0.6123689330
242;0.6110750632
243;0.6115429559
244;0.6105717549
245;0.6111953353
246;0.6088802961
247;0.6110409940
248;0.6100253642
249;0.6104256383
250;0.6087520000
251;0.6118474310
252;0.6092687075
253;0.6113359059
254;0.6104377209
255;0.6095963091
256;0.6087493896
257;0.6117730776
258;0.6095637281
259;0.6113057349
260;0.6094526627
261;0.6097238737
262;0.6088660334
